Company Name,Count,Percentage Allocation,Asset Type
HDFC Bank Ltd.,34,223.52,Equity
ICICI Bank Ltd.,36,204.33,Equity
Infosys Ltd.,30,110.07,Equity
Reliance Industries Ltd.,28,101.32000000000001,Equity
Larsen & Toubro Ltd.,26,84.49,Equity
Triparty Repo,23,84.18,Others
Axis Bank Ltd.,29,81.49,Equity
State Bank Of India,23,60.48,Equity
Bajaj Finance Ltd.,20,59.19,Equity
Bharti Airtel Ltd.,26,50.67,Equity
ITC Ltd.,18,47.95,Equity
Tata Consultancy Services Ltd.,21,47.45,Equity
HCL Technologies Ltd.,19,47.33,Equity
Maruti Suzuki India Ltd.,20,47.29,Equity
National Thermal Power Corporation Ltd.,20,46.06,Equity
Coforge Ltd.,18,40.12,Equity
CBLO(CCIL),9,38.98,Others
Ltimindtree Ltd.,20,37.43,Equity
Sun Pharmaceuticals Ind Ltd.,18,37.37,Equity
Zomato Ltd.,18,36.06,Equity
Ultratech Cement Ltd.,18,35.96,Equity
Bharat Electronics Ltd.,17,34.38,Equity
Mahindra & Mahindra Ltd.,17,32.519999999999996,Equity
Titan Company Ltd.,18,32.29,Equity
Avenue Supermarts Ltd.,12,31.41,Equity
Cholamandalam Investment & Finance Company Ltd.,15,31.11,Equity
Hindustan Unilever Ltd.,19,30.529999999999998,Equity
Net Receivables/(Payable),25,30.24,Others
TVS Motor Company Ltd.,14,29.46,Equity
Kotak Mahindra Bank Ltd.,17,29.12,Equity
Tata Motors Ltd.,16,26.47,Equity
Coal India Ltd.,11,25.18,Equity
Nestle India Ltd.,13,23.05,Equity
Jio Financial Services Ltd.,13,22.639999999999997,Equity
Power Finance Corporation Ltd.,11,22.58,Equity
REC Ltd.,10,21.69,Equity
Indusind Bank Ltd.,14,21.05,Equity
Cash,6,20.419999999999998,Others
Trent Ltd.,13,19.94,Equity
Persistent Systems Ltd.,10,19.86,Equity
Tech Mahindra Ltd.,16,19.73,Equity
SBI Life Insurance Company Ltd.,10,19.6,Equity
Hindustan Aeronautics Ltd.,7,18.02,Equity
Cipla Ltd.,13,17.66,Equity
Bajaj Auto Ltd.,8,17.17,Equity
UNO Minda Ltd.,10,16.56,Equity
Varun Beverages Ltd.,8,15.86,Equity
Jubilant Foodworks Ltd.,12,15.59,Equity
Interglobe Aviation Ltd.,14,15.4,Equity
Power Grid Corporation Of India Ltd.,8,15.12,Equity
JB Chemicals & Pharmaceuticals Ltd.,8,14.91,Equity
Hindalco Industries Ltd.,12,14.76,Equity
Apar Industries Ltd.,8,12.9,Equity
Samvardhana Motherson International Ltd. (Erstwhile Motherson Sumi Systems Ltd.),9,12.780000000000001,Equity
Apollo Hospitals Enterprise Ltd.,6,12.68,Equity
Multi Commodity Exchange of India Ltd.,6,12.559999999999999,Equity
PI Industries Ltd.,11,12.31,Equity
Tata Motors - DVR - A - ORDY,6,11.79,Equity
Balkrishna Industries Ltd.,8,11.67,Equity
Sona Blw Precision Forgings Ltd.,10,11.57,Equity
ICICI Lombard General Insurance Company Ltd.,8,11.47,Equity
Electronics Mart India Ltd.,7,11.35,Equity
Lupin Ltd.,9,11.32,Equity
Computer Age Management Services Ltd.,3,10.89,Equity
The Federal Bank Ltd.,7,10.84,Equity
ABB India Ltd.,8,10.7,Equity
Mphasis Ltd.,8,10.56,Equity
Asian Paints Ltd.,9,10.55,Equity
Canara Bank,10,10.54,Equity
Dixon Technologies (India) Ltd.,9,10.5,Equity
The Indian Hotels Company Ltd.,8,10.49,Equity
Eicher Motors Ltd.,8,10.47,Equity
Shriram Finance Ltd.(Erstwhile Shriram Transport Finance Company Limited),11,10.45,Equity
Sonata Software Ltd.,5,10.34,Equity
Radico Khaitan Ltd.,7,10.33,Equity
Tube Investments Of India Ltd.,3,10.32,Equity
Polycab India Ltd.,8,10.1,Equity
One 97 Communications Ltd.,7,10.04,Equity
Bank Of Baroda,7,10.0,Equity
SRF Ltd.,5,9.84,Equity
Divi Laboratories Ltd.,8,9.82,Equity
APL Apollo Tubes Ltd.,8,9.58,Equity
Poonawalla Fincorp Ltd. (Erstwhile Magma Fincorp Ltd.),5,9.440000000000001,Equity
The Phoenix Mills Ltd.,7,9.32,Equity
Global Health Ltd.,8,9.129999999999999,Equity
Bajaj Holdings & Investment Ltd.,2,8.87,Equity
The Supreme Industries Ltd.,4,8.84,Equity
Aurobindo Pharma Ltd.,5,8.77,Equity
Jindal Steel & Power Ltd.,5,8.76,Equity
SBI Cards & Payment Services Pvt. Ltd.,7,8.73,Equity
Vedant Fashions Pvt. Ltd.,8,8.690000000000001,Equity
Central Depository Services (India) Ltd.,8,8.57,Equity
Crompton Greaves Consumer Electrcials Ltd.,8,8.540000000000001,Equity
Havells India Ltd.,8,8.53,Equity
Info Edge (India) Ltd.,7,8.51,Equity
Astral Ltd. (Erstwhile Astral Poly Technik Ltd.),8,8.469999999999999,Equity
Bharat Forge Ltd.,6,8.36,Equity
United Spirits Ltd.,7,8.35,Equity
Tata Steel Ltd.,8,8.25,Equity
DLF Ltd.,5,8.16,Equity
Kirloskar Oil Engines Ltd.,6,8.12,Equity
Max Healthcare Institute Ltd.,5,8.02,Equity
ZF Commercial Vehicle Control Systems India Ltd.,6,7.88,Equity
Microsoft Corporation,3,7.86,Equity
Alkem Laboratories Ltd.,6,7.86,Equity
Suzlon Energy Ltd.,6,7.84,Equity
L&T Technology Services Ltd.,3,7.8100000000000005,Equity
Godrej Consumer Products Ltd.,6,7.78,Equity
Colgate-Palmolive Ltd.,3,7.74,Equity
Hindustan Petroleum Corporation Ltd.,5,7.71,Equity
CreditAccess Grameen Ltd.,6,7.49,Equity
Mankind Pharma Ltd.,8,7.359999999999999,Equity
Dabur India Ltd.,5,7.32,Equity
Britannia Industries Ltd.,7,7.319999999999999,Equity
Alphabet Inc,2,7.24,Equity
Dr Reddys Laboratories Ltd.,6,7.109999999999999,Equity
CG Power & Industrial Solutions Ltd.,6,7.1,Equity
Siemens Ltd.,7,7.0,Equity
BSE Ltd.,5,7.0,Equity
AIA Engineering Ltd.,7,6.89,Equity
Tata Consumer Products Ltd.,4,6.880000000000001,Equity
Dalmia Bharat Ltd.,5,6.84,Equity
Ashok Leyland Ltd.,6,6.82,Equity
Au Small Finance Bank Ltd.,4,6.69,Equity
Treasury Bill (91D),10,6.64,Others
Schaeffler India Ltd.,7,6.5600000000000005,Equity
Motherson Sumi Wiring India Ltd.,4,6.5,Equity
Solar Industries India Ltd.,4,6.3,Equity
ACC Ltd.,3,6.28,Equity
ICICI Prudential Life Insurance Company Ltd.,5,6.12,Equity
Muthoot Finance Ltd.,8,6.12,Equity
Aditya Birla Capital Ltd.,3,6.0600000000000005,Equity
Syngene International Ltd.,7,5.74,Equity
Craftsman Automation Ltd.,5,5.67,Equity
Piramal Pharma Ltd.,3,5.4,Equity
Adani Power Ltd.,1,5.34,Equity
HDFC Life Insurance Company Ltd.,4,5.32,Equity
Kaynes Technology India Pvt. Ltd.,6,5.22,Equity
Ajanta Pharma Ltd.,4,5.21,Equity
Bharat Heavy Electricals Ltd.,4,5.21,Equity
Jyothy Labs Ltd.,4,5.16,Equity
RBL Bank Ltd.,3,5.11,Equity
KPIT Technologies Ltd.,4,5.07,Equity
Max Financial Services Ltd.,6,5.07,Equity
Ratnamani Metals & Tubes Ltd.,3,5.050000000000001,Equity
Dr Lal PathLabs Ltd.,3,5.03,Equity
J. K. Cement Ltd.,4,4.99,Equity
GAIL (India) Ltd.,4,4.98,Equity
Torrent Power Ltd.,4,4.97,Equity
CESC Ltd.,5,4.97,Equity
Oberoi Realty Ltd.,4,4.97,Equity
Fsn ECommerce Ventures Ltd.,5,4.94,Equity
Facebook,2,4.9,Equity
United Breweries Ltd.,4,4.859999999999999,Equity
Bajaj Finserv Ltd.,5,4.79,Equity
Suven Pharmaceuticals Ltd.,5,4.78,Equity
Coromandel International Ltd. (Coromandel Fertilisers Ltd.),6,4.73,Equity
HDFC Asset Management Company Ltd.,5,4.7299999999999995,Equity
Union Bank Of India,3,4.7,Equity
Sanofi India Ltd.,3,4.69,Equity
Metropolis Healthcare Ltd.,4,4.63,Equity
Container Corporation Of India Ltd.,5,4.61,Equity
ICICI Securities Ltd.,3,4.58,Equity
Nippon India Mutual Fund (Nippon India ETF Nifty PSU Bank BeES),1,4.56,Equity
Oracle Financial Services Software Ltd.,3,4.529999999999999,Equity
CRISIL Ltd.,1,4.52,Equity
The Ramco Cements Ltd.,3,4.51,Equity
Syrma SGS Technology Ltd.,4,4.5,Equity
Zydus Lifesciences Ltd.,4,4.46,Equity
SKF India Ltd.,5,4.44,Equity
KEC International Ltd.,5,4.42,Equity
K P R Mill Ltd.,3,4.41,Equity
Cera Sanitaryware Ltd.,4,4.38,Equity
IIFL Finance Ltd. (Erstwhile India Infoline Finance Limited),4,4.37,Equity
Voltas Ltd.,5,4.34,Equity
Shree Cement Ltd.,4,4.31,Equity
Emami Ltd.,3,4.27,Equity
Vaibhav Global Ltd.,1,4.26,Equity
Oil India Ltd.,3,4.25,Equity
Repo,2,4.2299999999999995,Others
Finolex Cables Ltd.,3,4.22,Equity
Mrs Bectors Food Specialities Ltd.,4,4.21,Equity
Ambuja Cements Ltd.,3,4.14,Equity
Lemon Tree Hotels Ltd.,2,4.13,Equity
Indus Towers Ltd. (Erstwhile Bharti Infratel Limited),2,4.12,Equity
Krishna Institute of Medical Sciences Ltd.,5,4.12,Equity
Deepak Nitrite Ltd.,1,4.09,Equity
Timken India Ltd.,5,4.0600000000000005,Equity
Blue Star Ltd.,4,4.06,Equity
Mahindra Lifespace Developers Ltd.,3,4.03,Equity
Brigade Enterprises Ltd.,2,4.02,Equity
IPCA Laboratories Ltd.,4,3.98,Equity
Cummins India Ltd.,4,3.95,Equity
Hitachi Energy India Ltd.,3,3.94,Equity
Carborundum Universal Ltd.,4,3.92,Equity
Gabriel India Ltd.,2,3.91,Equity
R R Kabel Ltd.,4,3.9,Equity
PNB Housing Finance Ltd.,2,3.8899999999999997,Equity
Tata Communications Ltd.,3,3.88,Equity
Indraprastha Gas Ltd.,4,3.84,Equity
Torrent Pharmaceuticals Ltd.,4,3.81,Equity
L&T Finance Holding Ltd.,2,3.8,Equity
Kirloskar Pneumatic Company Ltd.,3,3.8,Equity
Westlife Foodworld Ltd.,4,3.79,Equity
MTAR Technologies Ltd.,4,3.7800000000000002,Equity
PVR INOX Ltd.,4,3.77,Equity
PCBL Ltd. (Erstwhile Phillips Carbon Black Ltd.),3,3.75,Equity
Ccl Products (India) Ltd.,2,3.74,Equity
Birlasoft Ltd.,2,3.74,Equity
Adani Ports and Special Economic Zone Ltd.,2,3.7199999999999998,Equity
Navin Fluorine International Ltd.,5,3.71,Equity
CIE Automotive India Ltd.,3,3.67,Equity
Gujarat Fluorochemicals Ltd.,3,3.65,Equity
Kalyan Jewellers India Ltd.,3,3.63,Equity
Delhivery Ltd.,5,3.61,Equity
Narayana Hrudayalaya Ltd.,3,3.61,Equity
360 ONE WAM LTD.(Erstwhile IIFL WEALTH MANAGEMENT LIMITED),3,3.5700000000000003,Equity
Hero Motocorp Ltd.,3,3.5700000000000003,Equity
Escorts Kubota Ltd.,3,3.5300000000000002,Equity
Karur Vysya Bank Ltd.,3,3.51,Equity
Prudent Corporate Advisory Services Ltd.,4,3.49,Equity
Bosch Ltd.,3,3.4699999999999998,Equity
Motilal Oswal Financial Services Ltd.,2,3.4699999999999998,Equity
Balrampur Chini Mills Ltd.,2,3.44,Equity
Amazon Com Stk,1,3.43,Equity
PB Fintech Ltd.,5,3.4000000000000004,Equity
Sumitomo Chemical India Ltd.,4,3.39,Equity
Nuvoco Vistas Corporation Ltd.,3,3.36,Equity
Page Industries Ltd.,5,3.33,Equity
Triveni Turbine Ltd.,2,3.33,Equity
Glaxo Smithkline Pharmaceuticals Ltd.,3,3.32,Equity
DCB Bank Ltd.,2,3.3099999999999996,Equity
Abbott India Ltd.,4,3.3,Equity
Rail Vikas Nigam Ltd.,2,3.3,Equity
Anand Rathi Wealth Ltd.,2,3.3,Equity
Oil & Natural Gas Corporation Ltd.,2,3.3,Equity
Rainbow Childrens Medicare Ltd.,3,3.2600000000000002,Equity
Metro Brands Ltd.,3,3.26,Equity
Devyani International Ltd.,3,3.21,Equity
Gillette India Ltd.,4,3.2,Equity
Marico Ltd.,3,3.2,Equity
Mahindra & Mahindra Financial Services Ltd.,2,3.1799999999999997,Equity
JK Lakshmi Cement Ltd.,4,3.14,Equity
Cyient Ltd.,3,3.13,Equity
Tata Technologies Ltd.,8,3.1100000000000003,Equity
Home First Finance Company India Ltd.,2,3.0999999999999996,Equity
Indiamart Intermesh Ltd.,4,3.08,Equity
Nexus Select Trust,2,3.08,Others
Equitas Small Finance Bank Ltd.,3,3.08,Equity
Kajaria Ceramics Ltd.,3,3.08,Equity
Grindwell Norton Ltd.,4,3.06,Equity
Atul Ltd.,5,3.03,Equity
Aditya Birla Fashion & Retail Ltd.,5,3.0,Equity
BEML Ltd.,3,2.98,Equity
Jindal Stainless Ltd.,3,2.98,Equity
Aavas Financiers Ltd. (Erstwhile A U Housing Finance),2,2.98,Equity
Birla Corporation Ltd.,2,2.97,Equity
Embassy Office Parks Reit,2,2.9699999999999998,Others
CMS Info Systems Ltd.,2,2.95,Equity
Indian Oil Corporation Ltd.,2,2.92,Equity
Ethos Ltd.,2,2.92,Equity
Exide Industries Ltd.,2,2.91,Equity
Gland Pharma Ltd.,3,2.9,Equity
KEI Industries Ltd.,3,2.87,Equity
Prestige Estates Projects Ltd.,3,2.8600000000000003,Equity
City Union Bank Ltd.,3,2.86,Equity
TVS Holdings Ltd.,4,2.8200000000000003,Equity
3M India Ltd.,2,2.8200000000000003,Equity
IDFC First Bank Ltd. (Erstwhile IDFC Bank Ltd.),5,2.7800000000000002,Equity
Arvind Ltd.,2,2.7800000000000002,Equity
Bata India Ltd.,3,2.77,Equity
Bharat Petroleum Corporation Ltd.,2,2.74,Equity
Elecon Engineering Company Ltd.,2,2.74,Equity
CSB Bank Ltd. (Formerly The Catholic Syrian Bank Ltd.),3,2.73,Equity
Canfin Homes Ltd.,2,2.7199999999999998,Equity
Linde India Ltd.,2,2.71,Equity
TCI Express Ltd.,4,2.7,Equity
Grasim Industries Ltd.,1,2.69,Equity
Aarti Industries Ltd.,2,2.67,Equity
Fusion Micro Finance Ltd.,2,2.67,Equity
Piramal Enterprises Ltd.,1,2.58,Equity
Va Tech Wabag Ltd.,2,2.57,Equity
HEG Ltd.,3,2.55,Equity
Ashoka Buildcon Ltd.,2,2.55,Equity
Century Textiles & Industries Ltd.,2,2.5300000000000002,Equity
Concord Biotech Ltd.,2,2.52,Equity
NMDC Ltd.,2,2.52,Equity
Rategain Travel Technologies Ltd.,2,2.5,Equity
Treasury Bill (364D),7,2.49,Others
Bajaj Electricals Ltd.,2,2.4699999999999998,Equity
Fine Organic Industries Ltd.,2,2.46,Equity
Thomas Cook (India) Ltd.,2,2.4400000000000004,Equity
JSW Infrastructure Ltd. (Erstwhile Sarvoday Advisory Services Pvt. Ltd.),2,2.42,Equity
Fortis Healthcare Ltd.,3,2.39,Equity
Zensar Technologies Ltd.,2,2.38,Equity
Pidilite Industries Ltd.,2,2.38,Equity
Bikaji Foods International Ltd.,3,2.38,Equity
Netweb Technologies India Ltd.,2,2.38,Equity
Sundram Fasteners Ltd.,1,2.36,Equity
Avalon Technologies Ltd,4,2.36,Equity
Five-Star Business Finance Ltd.,2,2.34,Equity
Punjab National Bank,1,2.34,Equity
Zee Entertainment Enterprises Ltd.,5,2.34,Equity
Esab India Ltd.,1,2.31,Equity
Vardhman Textiles Ltd.,2,2.29,Equity
JSW Steel Ltd.,4,2.29,Equity
Sundaram Finance Ltd.,2,2.29,Equity
GE T&D India Ltd.,2,2.2800000000000002,Equity
Astra Microwave Products Ltd.,1,2.25,Equity
Glenmark Pharmaceuticals Ltd.,1,2.24,Equity
SJVN Ltd.,1,2.19,Equity
Maharashtra Seamless Ltd.,1,2.19,Equity
Tata Power Company Ltd.,1,2.17,Equity
Neogen Chemicals Ltd.,4,2.16,Equity
