Company Name,Count,Percentage Allocation,Asset Type
Triparty Repo,17,161.57999999999998,Others
Brigade Enterprises Ltd.,14,25.78,Equity
CBLO(CCIL),5,25.22,Others
Ratnamani Metals & Tubes Ltd.,13,25.009999999999998,Equity
Cyient Ltd.,11,24.3,Equity
Birlasoft Ltd.,14,23.69,Equity
Carborundum Universal Ltd.,15,23.14,Equity
Equitas Small Finance Bank Ltd.,13,22.78,Equity
JB Chemicals & Pharmaceuticals Ltd.,16,22.28,Equity
KEI Industries Ltd.,12,21.27,Equity
Krishna Institute of Medical Sciences Ltd.,14,19.78,Equity
Multi Commodity Exchange of India Ltd.,12,19.7,Equity
BSE Ltd.,10,19.5,Equity
Blue Star Ltd.,9,19.03,Equity
CreditAccess Grameen Ltd.,9,18.08,Equity
Karur Vysya Bank Ltd.,11,17.35,Equity
Cholamandalam Financial Holdings Ltd.,10,15.790000000000001,Equity
Century Textiles & Industries Ltd.,11,15.46,Equity
JK Lakshmi Cement Ltd.,12,14.98,Equity
RHI Magnesita India Ltd.,11,14.89,Equity
CIE Automotive India Ltd.,12,14.79,Equity
KPIT Technologies Ltd.,8,14.74,Equity
Radico Khaitan Ltd.,10,14.68,Equity
Central Depository Services (India) Ltd.,9,14.19,Equity
Reliance Industries Ltd.,4,13.18,Equity
Canfin Homes Ltd.,9,12.94,Equity
Cera Sanitaryware Ltd.,8,12.9,Equity
PNC Infratech Ltd.,13,12.83,Equity
Ccl Products (India) Ltd.,10,12.69,Equity
Westlife Foodworld Ltd.,10,12.42,Equity
Persistent Systems Ltd.,9,12.11,Equity
Lemon Tree Hotels Ltd.,7,12.08,Equity
City Union Bank Ltd.,10,11.95,Equity
K P R Mill Ltd.,9,11.879999999999999,Equity
Rolex Rings Ltd.,10,11.84,Equity
Balrampur Chini Mills Ltd.,10,11.33,Equity
eClerx Services Ltd.,7,11.23,Equity
KSB Ltd.,6,11.18,Equity
Praj Industries Ltd.,7,11.13,Equity
Go Fashion (India) Ltd.,9,11.02,Equity
Global Health Ltd.,7,10.97,Equity
Tube Investments Of India Ltd.,7,10.780000000000001,Equity
Jyothy Labs Ltd.,9,10.68,Equity
Suven Pharmaceuticals Ltd.,9,10.59,Equity
Timken India Ltd.,11,10.4,Equity
Ajanta Pharma Ltd.,7,10.27,Equity
KEC International Ltd.,8,10.17,Equity
REC Ltd.,7,10.15,Equity
Grindwell Norton Ltd.,8,10.09,Equity
Kaynes Technology India Pvt. Ltd.,7,10.0,Equity
Bikaji Foods International Ltd.,7,9.96,Equity
Apar Industries Ltd.,7,9.870000000000001,Equity
Mrs Bectors Food Specialities Ltd.,7,9.83,Equity
IDFC Ltd.,6,9.75,Equity
Nifty,1,9.74,Equity
Narayana Hrudayalaya Ltd.,5,9.7,Equity
PVR INOX Ltd.,8,9.52,Equity
Td Power Systems Ltd.,6,9.37,Equity
360 ONE WAM LTD.(Erstwhile IIFL WEALTH MANAGEMENT LIMITED),6,9.34,Equity
KNR Constructions Ltd.,10,9.14,Equity
Kirloskar Oil Engines Ltd.,6,9.11,Equity
Teamlease Services Ltd.,8,9.11,Equity
Gokaldas Exports Ltd.,5,9.05,Equity
DCB Bank Ltd.,9,9.03,Equity
CSB Bank Ltd. (Formerly The Catholic Syrian Bank Ltd.),6,8.88,Equity
APL Apollo Tubes Ltd.,6,8.809999999999999,Equity
Hitachi Energy India Ltd.,7,8.8,Equity
Cash,3,8.68,Others
Sanofi India Ltd.,5,8.66,Equity
Techno Electric & Engineering Company Ltd.,6,8.66,Equity
R R Kabel Ltd.,10,8.62,Equity
Triveni Turbine Ltd.,5,8.51,Equity
Blue Dart Express Ltd.,5,8.34,Equity
Arvind Ltd.,4,8.190000000000001,Equity
C.E. Info Systems Ltd.,3,8.18,Equity
Exide Industries Ltd.,6,8.12,Equity
Navin Fluorine International Ltd.,8,8.11,Equity
Century Plyboards Ltd.,7,8.09,Equity
Galaxy Surfactants Ltd.,5,7.95,Equity
CMS Info Systems Ltd.,5,7.95,Equity
Home First Finance Company India Ltd.,8,7.9,Equity
RBL Bank Ltd.,7,7.88,Equity
Minda Corporation Ltd.,6,7.83,Equity
Sheela Foam Ltd.,7,7.720000000000001,Equity
PCBL Ltd. (Erstwhile Phillips Carbon Black Ltd.),5,7.699999999999999,Equity
ICICI Securities Ltd.,5,7.61,Equity
Dixon Technologies (India) Ltd.,7,7.59,Equity
Ahluwalia Contracts Ltd.,5,7.53,Equity
Indian Bank,6,7.52,Equity
J. K. Cement Ltd.,6,7.51,Equity
