Company Name,Count,Percentage Allocation,Asset Type
HDFC Bank Ltd.,31,252.45,Equity
ICICI Bank Ltd.,29,218.96,Equity
Reliance Industries Ltd.,29,163.43,Equity
Infosys Ltd.,29,127.5,Equity
Larsen & Toubro Ltd.,27,118.58,Equity
Axis Bank Ltd.,26,95.94,Equity
ITC Ltd.,24,81.0,Equity
Triparty Repo,19,76.06,Others
Sun Pharmaceuticals Ind Ltd.,27,68.41,Equity
Maruti Suzuki India Ltd.,26,66.2,Equity
Bharti Airtel Ltd.,24,65.58,Equity
Tata Consultancy Services Ltd.,22,63.42,Equity
State Bank Of India,24,63.3,Equity
National Thermal Power Corporation Ltd.,25,62.7,Equity
Bajaj Finance Ltd.,18,49.74,Equity
Kotak Mahindra Bank Ltd.,22,48.1,Equity
HCL Technologies Ltd.,21,45.06,Equity
Ultratech Cement Ltd.,22,44.6,Equity
Mahindra & Mahindra Ltd.,20,41.04,Equity
Titan Company Ltd.,22,39.32,Equity
Tata Motors Ltd.,20,37.54,Equity
Hindustan Unilever Ltd.,20,34.2,Equity
Cholamandalam Investment & Finance Company Ltd.,16,25.86,Equity
Indusind Bank Ltd.,13,24.42,Equity
Nestle India Ltd.,13,24.189999999999998,Equity
Avenue Supermarts Ltd.,12,23.53,Equity
Tech Mahindra Ltd.,17,22.7,Equity
Hindalco Industries Ltd.,14,22.39,Equity
Tata Steel Ltd.,19,21.07,Equity
SBI Life Insurance Company Ltd.,15,20.59,Equity
CBLO(CCIL),7,20.27,Others
Jio Financial Services Ltd.,16,19.9,Equity
Bajaj Auto Ltd.,13,19.89,Equity
Coal India Ltd.,10,19.87,Equity
DLF Ltd.,13,19.78,Equity
Ltimindtree Ltd.,14,19.53,Equity
Eicher Motors Ltd.,13,18.82,Equity
Zomato Ltd.,15,18.13,Equity
Grasim Industries Ltd.,9,17.23,Equity
Interglobe Aviation Ltd.,12,17.09,Equity
Godrej Consumer Products Ltd.,10,16.93,Equity
Bharat Electronics Ltd.,14,15.76,Equity
Tata Motors - DVR - A - ORDY,8,15.549999999999999,Equity
Britannia Industries Ltd.,10,15.49,Equity
Hero Motocorp Ltd.,9,15.16,Equity
Ambuja Cements Ltd.,9,15.1,Equity
Cipla Ltd.,13,15.08,Equity
GAIL (India) Ltd.,7,14.77,Equity
Bank Of Baroda,11,14.510000000000002,Equity
Power Finance Corporation Ltd.,7,13.1,Equity
Varun Beverages Ltd.,7,13.1,Equity
