Sector Name,Dummy,Percentage Allocation,Scheme Name,Fund Type
Financial Services,,33.53%,Aditya Birla Sun Life Equity Hybrid 95 Fund,Aggressive Hybrid Fund
Information Technology,,7.97%,Aditya Birla Sun Life Equity Hybrid 95 Fund,Aggressive Hybrid Fund
Sovereign,,7.12%,Aditya Birla Sun Life Equity Hybrid 95 Fund,Aggressive Hybrid Fund
Automobile and Auto Components,,6.93%,Aditya Birla Sun Life Equity Hybrid 95 Fund,Aggressive Hybrid Fund
Healthcare,,6.92%,Aditya Birla Sun Life Equity Hybrid 95 Fund,Aggressive Hybrid Fund
Financial Services,,38.14%,Axis Equity Hybrid Fund,Aggressive Hybrid Fund
Sovereign,,7.93%,Axis Equity Hybrid Fund,Aggressive Hybrid Fund
Information Technology,,7.88%,Axis Equity Hybrid Fund,Aggressive Hybrid Fund
Chemicals,,7.21%,Axis Equity Hybrid Fund,Aggressive Hybrid Fund
Consumer Services,,7.13%,Axis Equity Hybrid Fund,Aggressive Hybrid Fund
Financial Services,,44.98%,Bandhan Hybrid Equity Fund,Aggressive Hybrid Fund
Information Technology,,7.72%,Bandhan Hybrid Equity Fund,Aggressive Hybrid Fund
Automobile and Auto Components,,7.23%,Bandhan Hybrid Equity Fund,Aggressive Hybrid Fund
Consumer Durables,,4.89%,Bandhan Hybrid Equity Fund,Aggressive Hybrid Fund
"Oil, Gas & Consumable Fuels",,4.31%,Bandhan Hybrid Equity Fund,Aggressive Hybrid Fund
Financial Services,,33.89%,Bank of India Mid & Small Cap Equity & Debt Fund,Aggressive Hybrid Fund
Capital Goods,,10.02%,Bank of India Mid & Small Cap Equity & Debt Fund,Aggressive Hybrid Fund
Healthcare,,7.77%,Bank of India Mid & Small Cap Equity & Debt Fund,Aggressive Hybrid Fund
Sovereign,,6.12%,Bank of India Mid & Small Cap Equity & Debt Fund,Aggressive Hybrid Fund
Current Assets,,5.01%,Bank of India Mid & Small Cap Equity & Debt Fund,Aggressive Hybrid Fund
Financial Services,,36.29%,Baroda BNP Paribas Aggresive Hybrid Fund,Aggressive Hybrid Fund
Information Technology,,9.14%,Baroda BNP Paribas Aggresive Hybrid Fund,Aggressive Hybrid Fund
"Oil, Gas & Consumable Fuels",,8.73%,Baroda BNP Paribas Aggresive Hybrid Fund,Aggressive Hybrid Fund
Automobile and Auto Components,,7.24%,Baroda BNP Paribas Aggresive Hybrid Fund,Aggressive Hybrid Fund
Capital Goods,,6.40%,Baroda BNP Paribas Aggresive Hybrid Fund,Aggressive Hybrid Fund
Financial Services,,35.75%,Canara Robeco Equity Hybrid Fund,Aggressive Hybrid Fund
Sovereign,,9.10%,Canara Robeco Equity Hybrid Fund,Aggressive Hybrid Fund
Current Assets,,7.69%,Canara Robeco Equity Hybrid Fund,Aggressive Hybrid Fund
Information Technology,,6.71%,Canara Robeco Equity Hybrid Fund,Aggressive Hybrid Fund
Automobile and Auto Components,,5.89%,Canara Robeco Equity Hybrid Fund,Aggressive Hybrid Fund
Financial Services,,41.60%,DSP Equity & Bond Fund,Aggressive Hybrid Fund
Capital Goods,,12.31%,DSP Equity & Bond Fund,Aggressive Hybrid Fund
Sovereign,,10.40%,DSP Equity & Bond Fund,Aggressive Hybrid Fund
Information Technology,,6.60%,DSP Equity & Bond Fund,Aggressive Hybrid Fund
Automobile and Auto Components,,5.63%,DSP Equity & Bond Fund,Aggressive Hybrid Fund
Financial Services,,25.92%,Edelweiss Aggressive Hybrid Fund,Aggressive Hybrid Fund
Mutual Funds,,9.09%,Edelweiss Aggressive Hybrid Fund,Aggressive Hybrid Fund
Sovereign,,8.40%,Edelweiss Aggressive Hybrid Fund,Aggressive Hybrid Fund
Information Technology,,7.35%,Edelweiss Aggressive Hybrid Fund,Aggressive Hybrid Fund
Current Assets,,6.77%,Edelweiss Aggressive Hybrid Fund,Aggressive Hybrid Fund
Financial Services,,37.42%,Franklin India Equity Hybrid Fund,Aggressive Hybrid Fund
Sovereign,,9.29%,Franklin India Equity Hybrid Fund,Aggressive Hybrid Fund
Information Technology,,7.89%,Franklin India Equity Hybrid Fund,Aggressive Hybrid Fund
Capital Goods,,5.28%,Franklin India Equity Hybrid Fund,Aggressive Hybrid Fund
"Oil, Gas & Consumable Fuels",,5.16%,Franklin India Equity Hybrid Fund,Aggressive Hybrid Fund
Financial Services,,25.83%,Groww Aggressive Hybrid Fund,Aggressive Hybrid Fund
Sovereign,,18.74%,Groww Aggressive Hybrid Fund,Aggressive Hybrid Fund
Information Technology,,12.98%,Groww Aggressive Hybrid Fund,Aggressive Hybrid Fund
Automobile and Auto Components,,9.70%,Groww Aggressive Hybrid Fund,Aggressive Hybrid Fund
